"date","geography","geography code","Age: All categories: Age; Sex: All persons; measures: Value","Age: All categories: Age; Sex: Males; measures: Value","Age: All categories: Age; Sex: Females; measures: Value","Age: Age 0 to 4; Sex: All persons; measures: Value","Age: Age 0 to 4; Sex: Males; measures: Value","Age: Age 0 to 4; Sex: Females; measures: Value","Age: Age 5 to 9; Sex: All persons; measures: Value","Age: Age 5 to 9; Sex: Males; measures: Value","Age: Age 5 to 9; Sex: Females; measures: Value","Age: Age 10 to 15; Sex: All persons; measures: Value","Age: Age 10 to 15; Sex: Males; measures: Value","Age: Age 10 to 15; Sex: Females; measures: Value","Age: Age 16 to 19; Sex: All persons; measures: Value","Age: Age 16 to 19; Sex: Males; measures: Value","Age: Age 16 to 19; Sex: Females; measures: Value","Age: Age 20 to 24; Sex: All persons; measures: Value","Age: Age 20 to 24; Sex: Males; measures: Value","Age: Age 20 to 24; Sex: Females; measures: Value","Age: Age 25 to 29; Sex: All persons; measures: Value","Age: Age 25 to 29; Sex: Males; measures: Value","Age: Age 25 to 29; Sex: Females; measures: Value","Age: Age 30 to 34; Sex: All persons; measures: Value","Age: Age 30 to 34; Sex: Males; measures: Value","Age: Age 30 to 34; Sex: Females; measures: Value","Age: Age 35 to 39; Sex: All persons; measures: Value","Age: Age 35 to 39; Sex: Males; measures: Value","Age: Age 35 to 39; Sex: Females; measures: Value","Age: Age 40 to 44; Sex: All persons; measures: Value","Age: Age 40 to 44; Sex: Males; measures: Value","Age: Age 40 to 44; Sex: Females; measures: Value","Age: Age 45 to 49; Sex: All persons; measures: Value","Age: Age 45 to 49; Sex: Males; measures: Value","Age: Age 45 to 49; Sex: Females; measures: Value","Age: Age 50 to 54; Sex: All persons; measures: Value","Age: Age 50 to 54; Sex: Males; measures: Value","Age: Age 50 to 54; Sex: Females; measures: Value","Age: Age 55 to 59; Sex: All persons; measures: Value","Age: Age 55 to 59; Sex: Males; measures: Value","Age: Age 55 to 59; Sex: Females; measures: Value","Age: Age 60 to 64; Sex: All persons; measures: Value","Age: Age 60 to 64; Sex: Males; measures: Value","Age: Age 60 to 64; Sex: Females; measures: Value","Age: Age 65 to 69; Sex: All persons; measures: Value","Age: Age 65 to 69; Sex: Males; measures: Value","Age: Age 65 to 69; Sex: Females; measures: Value","Age: Age 70 to 74; Sex: All persons; measures: Value","Age: Age 70 to 74; Sex: Males; measures: Value","Age: Age 70 to 74; Sex: Females; measures: Value","Age: Age 75 to 79; Sex: All persons; measures: Value","Age: Age 75 to 79; Sex: Males; measures: Value","Age: Age 75 to 79; Sex: Females; measures: Value","Age: Age 80 to 84; Sex: All persons; measures: Value","Age: Age 80 to 84; Sex: Males; measures: Value","Age: Age 80 to 84; Sex: Females; measures: Value","Age: Age 85 and over; Sex: All persons; measures: Value","Age: Age 85 and over; Sex: Males; measures: Value","Age: Age 85 and over; Sex: Females; measures: Value"
"2011","SO - Southampton","SO - Southampton",665213,325801,339412,39002,20013,18989,34816,17957,16859,44621,23052,21569,36481,18684,17797,52228,26365,25863,42350,21278,21072,40863,20084,20779,42532,20854,21678,45774,22336,23438,48351,23456,24895,43463,21432,22031,38382,18933,19449,41378,20240,21138,32666,15832,16834,26213,12446,13767,21915,10024,11891,17371,7263,10108,16807,5552,11255
"2011","SP - Salisbury","SP - Salisbury",230131,114400,115731,14225,7243,6982,13241,6733,6508,16859,8653,8206,11178,5828,5350,14494,8552,5942,14286,7810,6476,13145,6887,6258,14580,7226,7354,16433,7975,8458,16664,8017,8647,14695,7143,7552,13129,6394,6735,14647,7069,7578,12032,5714,6318,9774,4636,5138,8119,3770,4349,6285,2659,3626,6345,2091,4254
"2011","SR - Sunderland","SR - Sunderland",242213,112545,129668,13941,7148,6793,12544,6504,6040,16863,8548,8315,13231,6599,6632,17350,8390,8960,15001,7061,7940,13523,6103,7420,14185,6188,7997,16571,7228,9343,17800,8119,9681,16931,7807,9124,14646,6739,7907,15067,7019,8048,12028,5669,6359,11017,4940,6077,9691,4157,5534,6817,2731,4086,5007,1595,3412
"2011","SS - Southend-on-Sea","SS - Southend-on-Sea",477369,227774,249595,30956,15803,15153,28708,14719,13989,38062,19399,18663,24285,12522,11763,25575,13050,12525,25091,12267,12824,26010,12477,13533,28784,13342,15442,32870,15037,17833,33636,15888,17748,30063,14380,15683,27537,12980,14557,32594,15325,17269,26597,12571,14026,21745,10052,11693,18289,8281,10008,13689,5598,8091,12878,4083,8795
"2011","ST - Stoke-on-Trent","ST - Stoke-on-Trent",630869,310393,320476,37123,18821,18302,34139,17532,16607,43781,22438,21343,33000,16964,16036,42564,22130,20434,37432,19090,18342,35055,17574,17481,38750,18997,19753,45663,22623,23040,45719,22406,23313,41021,20024,20997,38225,18780,19445,42637,20815,21822,35226,17473,17753,27932,13512,14420,22086,10036,12050,16140,6596,9544,14376,4582,9794
"2011","SW - London SW","SW - London SW",907219,447478,459741,59004,30259,28745,43259,21854,21405,44349,22669,21680,32016,16042,15974,68992,32158,36834,100867,48145,52722,98377,48117,50260,84030,42315,41715,77440,39150,38290,72027,37164,34863,57447,29704,27743,44761,22499,22262,38267,19186,19081,26076,12490,13586,21000,9784,11216,15828,7253,8575,11882,4924,6958,11597,3765,7832
"2011","SY - Shrewsbury","SY - Shrewsbury",338146,166090,172056,17256,8789,8467,17277,8768,8509,24131,12433,11698,18973,9779,9194,22303,11761,10542,17195,9044,8151,16612,8491,8121,18544,9060,9484,23219,11316,11903,24587,11988,12599,22457,10902,11555,21624,10498,11126,24210,11765,12445,20685,10023,10662,16510,7986,8524,13118,6074,7044,9932,4238,5694,9513,3175,6338
"2011","TA - Taunton","TA - Taunton",312884,150398,162486,17254,8672,8582,16263,8332,7931,22413,11536,10877,14988,7653,7335,16541,8244,8297,15543,7886,7657,14734,7133,7601,16618,7726,8892,20683,9826,10857,22158,10493,11665,20747,10018,10729,20209,9693,10516,23749,11612,12137,20066,9659,10407,16099,7737,8362,13350,6169,7181,10796,4550,6246,10673,3459,7214
"2011","TD - Galashiels","TD - Galashiels",17277,8133,9144,946,481,465,891,486,405,1125,585,540,749,374,375,848,386,462,828,369,459,785,383,402,841,395,446,1020,464,556,1226,558,668,1161,514,647,1229,553,676,1453,683,770,1245,607,638,963,474,489,817,375,442,572,240,332,578,206,372
"2011","TF - Telford","TF - Telford",212308,105878,106430,13775,7028,6747,12297,6027,6270,16046,8203,7843,11509,5935,5574,13531,7142,6389,13403,6852,6551,12879,6608,6271,14008,7160,6848,16250,8286,7964,15962,8151,7811,13574,6651,6923,12727,6271,6456,13489,6560,6929,10734,5302,5432,8154,3958,4196,6022,2767,3255,4227,1795,2432,3721,1182,2539
"2011","TN - Tonbridge","TN - Tonbridge",646267,308391,337876,39602,20307,19295,39034,19947,19087,51544,26083,25461,33419,17135,16284,32227,16309,15918,32514,16218,16296,31255,15019,16236,36423,16871,19552,44975,20688,24287,46988,21875,25113,41810,19541,22269,38187,18073,20114,46132,21837,24295,37947,18398,19549,29844,14124,15720,24932,11408,13524,19595,8151,11444,19839,6407,13432
"2011","TQ - Torquay","TQ - Torquay",272064,129783,142281,13616,7033,6583,13433,6944,6489,18747,9804,8943,12694,6529,6165,13228,6884,6344,12584,6236,6348,11901,5712,6189,13643,6462,7181,17555,8153,9402,19574,9138,10436,18316,8529,9787,18013,8489,9524,22137,10371,11766,18865,9188,9677,14776,7060,7716,12549,5749,6800,9732,3963,5769,10701,3539,7162
"2011","TR - Truro","TR - Truro",295491,142289,153202,15127,7771,7356,14236,7340,6896,19774,10243,9531,14513,7308,7205,17633,8987,8646,15562,7766,7796,15646,7768,7878,17232,8236,8996,20212,9459,10753,21155,10021,11134,19911,9461,10450,19098,9017,10081,22985,11106,11879,18811,9083,9728,14334,6812,7522,11633,5398,6235,9032,3763,5269,8597,2750,5847
"2011","TS - Cleveland","TS - Cleveland",588882,283761,305121,37188,18885,18303,33892,17430,16462,43639,22429,21210,32464,16519,15945,38803,19657,19146,35668,16898,18770,32285,15204,17081,33962,16077,17885,40425,18988,21437,44076,20928,23148,40697,19596,21101,35990,17427,18563,37647,18291,19356,29547,14502,15045,25447,11921,13526,20549,9196,11353,14598,5972,8626,12005,3841,8164
"2011","TW - Twickenham","TW - Twickenham",470771,236907,233864,35665,18307,17358,28023,14241,13782,32150,16533,15617,22395,11293,11102,31606,16098,15508,36547,18387,18160,38354,19668,18686,36909,19173,17736,35550,18215,17335,34033,17783,16250,28817,15025,13792,24156,12542,11614,23234,11619,11615,17785,8627,9158,14970,7097,7873,12432,5618,6814,9269,3827,5442,8876,2854,6022
"2011","UB - Southall","UB - Southall",399745,205972,193773,28527,14554,13973,23775,12205,11570,28062,14546,13516,20350,10826,9524,29448,15343,14105,33486,16722,16764,34687,17962,16725,31948,16613,15335,31621,16660,14961,30614,16345,14269,26171,14068,12103,21227,11462,9765,17723,9374,8349,11994,5885,6109,10656,5229,5427,8524,3857,4667,5849,2509,3340,5083,1812,3271
"2011","W - London W","W - London W",805025,408044,396981,34812,17851,16961,26740,13603,13137,28674,14529,14145,25010,12062,12948,74313,34284,40029,113466,54059,59407,108659,55653,53006,86878,46301,40577,71859,39222,32637,61593,33328,28265,47103,25132,21971,36344,18913,17431,30194,15655,14539,19303,9483,9820,14476,7147,7329,10821,5165,5656,7545,3219,4326,7235,2438,4797
"2011","WA - Warrington","WA - Warrington",633656,319249,314407,38144,19278,18866,35147,17997,17150,44803,22930,21873,31080,16038,15042,37924,19410,18514,40252,20913,19339,38867,20092,18775,43450,22470,20980,48784,25061,23723,49883,26013,23870,42785,22304,20481,38398,19834,18564,41262,20854,20408,31302,15367,15935,25473,12053,13420,19656,8933,10723,14114,5818,8296,12332,3884,8448
"2011","WC - London WC","WC - London WC",224725,117929,106796,1373,761,612,1362,641,721,1202,623,579,4746,2108,2638,22639,10273,12366,39034,18387,20647,37813,18911,18902,28827,15829,12998,24392,13987,10405,20657,11746,8911,16069,9280,6789,11647,6731,4916,7914,4717,3197,3197,1919,1278,1602,930,672,1011,550,461,681,328,353,559,208,351
"2011","WD - Watford","WD - Watford",246094,120106,125988,17903,9206,8697,15639,8022,7617,19245,9837,9408,12185,6183,6002,14451,7013,7438,17120,8280,8840,17308,8619,8689,17318,8568,8750,18000,8877,9123,18182,8955,9227,15343,7549,7794,12981,6469,6512,13132,6368,6764,10211,4898,5313,8467,3913,4554,7378,3274,4104,5620,2273,3347,5611,1802,3809
"2011","WF - Wakefield","WF - Wakefield",496850,244218,252632,33045,16908,16137,30301,15413,14888,38108,19260,18848,25033,12873,12160,29172,14420,14752,31133,15090,16043,28995,14307,14688,31669,15735,15934,37530,19005,18525,36620,18499,18121,32900,16484,16416,29347,14764,14583,31495,15498,15997,24929,12084,12845,20030,9560,10470,15658,6991,8667,11076,4332,6744,9809,2995,6814
"2011","WN - Wigan","WN - Wigan",287833,140922,146911,19123,9801,9322,17561,9012,8549,22157,11475,10682,14783,7660,7123,16873,8452,8421,16622,8081,8541,15433,7569,7864,17594,8545,9049,21243,10338,10905,21149,10381,10768,18292,8899,9393,16599,8116,8483,19850,9672,10178,16680,8217,8463,13043,6371,6672,9376,4279,5097,6203,2502,3701,5252,1552,3700
"2011","WR - Worcester","WR - Worcester",283700,138442,145258,15281,7799,7482,15113,7763,7350,20004,10221,9783,14217,7163,7054,15710,7907,7803,15465,7760,7705,15193,7519,7674,17191,8367,8824,20513,9905,10608,21115,10329,10786,18887,9287,9600,17938,8853,9085,20200,10042,10158,16562,8006,8556,13397,6442,6955,10741,5095,5646,8106,3393,4713,8067,2591,5476
"2011","WS - Walsall","WS - Walsall",431273,211110,220163,28855,14810,14045,27070,13943,13127,33995,17464,16531,22790,11434,11356,26600,13552,13048,25915,12857,13058,24248,11965,12283,26277,12893,13384,30790,15094,15696,30677,15013,15664,26679,13144,13535,24264,11883,12381,26511,12918,13593,23527,11446,12081,19019,9049,9970,14499,6544,7955,10497,4316,6181,9060,2785,6275
"2011","WV - Wolverhampton","WV - Wolverhampton",382662,189677,192985,24542,12432,12110,22186,11387,10799,28446,14548,13898,20450,10622,9828,25072,13079,11993,23580,12119,11461,21931,10948,10983,23824,12110,11714,27254,13632,13622,27556,13663,13893,24254,12146,12108,22372,11252,11120,22605,11235,11370,19294,9416,9878,16779,7926,8853,13494,6084,7410,10190,4196,5994,8833,2882,5951
"2011","YO - York","YO - York",550229,267712,282517,28919,14813,14106,27223,13904,13319,36750,18816,17934,29338,14903,14435,37583,18915,18668,30576,15765,14811,28214,14204,14010,31431,15405,16026,37508,18199,19309,39605,19290,20315,36171,17790,18381,34091,16508,17583,40030,19393,20637,32802,15782,17020,26883,12478,14405,21503,9742,11761,16256,6626,9630,15346,5179,10167
"2011","CF - Cardiff","CF - Cardiff",1004225,489621,514604,62158,32036,30122,54850,27986,26864,70524,35898,34626,55122,27585,27537,79383,39773,39610,70108,34709,35399,64167,31979,32188,63624,31279,32345,70678,34184,36494,71391,34634,36757,64704,31592,33112,57995,28483,29512,60137,29556,30581,46713,22624,24089,38725,18081,20644,30788,13578,17210,22114,9013,13101,21044,6631,14413
"2011","LD - Llandrindod Wells","LD - Llandrindod Wells",49392,24318,25074,2365,1193,1172,2417,1271,1146,3581,1888,1693,2418,1190,1228,2329,1282,1047,2227,1167,1060,2130,1080,1050,2490,1215,1275,3176,1558,1618,3637,1794,1843,3358,1619,1739,3442,1661,1781,4039,2004,2035,3562,1750,1812,2751,1369,1382,2217,1035,1182,1642,698,944,1611,544,1067
"2011","LL - Llandudno","LL - Llandudno",526894,255934,270960,30817,15799,15018,27809,14479,13330,36429,18736,17693,26373,13448,12925,32281,16457,15824,27798,14008,13790,26632,13180,13452,29616,14371,15245,35332,16737,18595,36752,17568,19184,34419,16675,17744,32664,15816,16848,38287,18703,19584,32578,16059,16519,26228,12636,13592,21220,9654,11566,16411,6763,9648,15248,4845,10403
"2011","NP - Newport","NP - Newport",474361,231255,243106,28825,14766,14059,26931,13766,13165,36460,18677,17783,25322,12749,12573,28613,14513,14100,27595,13594,14001,26340,12966,13374,27349,13286,14063,33891,16426,17465,34585,16897,17688,30842,15072,15770,28151,13727,14424,31633,15519,16114,26072,12727,13345,20967,10085,10882,17156,7814,9342,12134,5095,7039,11495,3576,7919
